Address: 14973, Value: 3
Address: 34899, Value: 3
Address: 55753, Value: 2
Address: 5131, Value: 1
Address: 64355, Value: 1
Address: 10969, Value: 1
Address: 37470, Value: 3
Address: 13078, Value: 3
Address: 1947, Value: 3
Address: 38173, Value: 3
Address: 57956, Value: 3
Address: 38298, Value: 3
Address: 41898, Value: 1
Address: 56975, Value: 2
Address: 11748, Value: 1
Address: 10338, Value: 1
Address: 33842, Value: 1
Address: 37736, Value: 1
Address: 35412, Value: 3
Address: 25869, Value: 3
Address: 16391, Value: 1
Address: 46686, Value: 1
Address: 25358, Value: 3
Address: 8099, Value: 1
Address: 19463, Value: 1
Address: 23129, Value: 3
Address: 64990, Value: 3
Address: 27154, Value: 1
Address: 39896, Value: 1
Address: 22797, Value: 1
Address: 29870, Value: 3
Address: 22392, Value: 1
Address: 15589, Value: 3
Address: 49979, Value: 1
Address: 42076, Value: 1
Address: 39238, Value: 3
Address: 9488, Value: 3
Address: 20324, Value: 3
Address: 62862, Value: 1
Address: 49986, Value: 3
Address: 57854, Value: 1
Address: 59249, Value: 1
Address: 51530, Value: 1
Address: 19163, Value: 1
Address: 36737, Value: 3
Address: 33223, Value: 1
Address: 49050, Value: 3
Address: 59930, Value: 2
Address: 18462, Value: 3
Address: 6867, Value: 1
Address: 40932, Value: 3
Address: 54405, Value: 3
Address: 18659, Value: 2
Address: 28426, Value: 1
Address: 16343, Value: 3
Address: 17387, Value: 3
Address: 37773, Value: 0
Address: 16968, Value: 1
Address: 37229, Value: 3
Address: 36790, Value: 3
Address: 56260, Value: 3
Address: 737, Value: 3
Address: 2524, Value: 3
Address: 42379, Value: 3
Address: 27875, Value: 1
Address: 15400, Value: 3
Address: 22628, Value: 1
Address: 51396, Value: 2
Address: 33764, Value: 3
Address: 63231, Value: 1
Address: 29739, Value: 1
Address: 43543, Value: 3
Address: 57088, Value: 1
Address: 36306, Value: 3
Address: 13020, Value: 2
Address: 5428, Value: 3
Address: 27831, Value: 0
Address: 20164, Value: 3
Address: 61040, Value: 1
Address: 20950, Value: 3
Address: 26329, Value: 3
Address: 62819, Value: 1
Address: 57561, Value: 1
Address: 23513, Value: 3
Address: 64894, Value: 1
Address: 2406, Value: 1
Address: 17379, Value: 2
Address: 64502, Value: 1
Address: 7802, Value: 3
Address: 60756, Value: 2
Address: 20242, Value: 3
Address: 8799, Value: 3
Address: 46082, Value: 3
Address: 21770, Value: 1
Address: 18563, Value: 0
Address: 57527, Value: 2
Address: 54344, Value: 1
Address: 50399, Value: 3
Address: 14901, Value: 1
Address: 63322, Value: 3
Address: 30923, Value: 1
Address: 34441, Value: 1
Address: 44614, Value: 1
Address: 49223, Value: 3
Address: 42702, Value: 3
Address: 55011, Value: 1
Address: 39147, Value: 1
Address: 4657, Value: 1
Address: 26150, Value: 3
Address: 49162, Value: 3
Address: 4470, Value: 1
Address: 62725, Value: 3
Address: 17172, Value: 3
Address: 7181, Value: 3
Address: 40803, Value: 1
Address: 11861, Value: 0
Address: 23350, Value: 1
Address: 42218, Value: 0
Address: 6655, Value: 1
Address: 3948, Value: 3
Address: 30891, Value: 3
Address: 60879, Value: 3
Address: 16038, Value: 3
Address: 38570, Value: 1
Address: 10619, Value: 3
Address: 6836, Value: 3
Address: 16945, Value: 3
Address: 48778, Value: 3
Address: 36150, Value: 3
Address: 52267, Value: 3
Address: 1556, Value: 3
Address: 16819, Value: 1
Address: 37620, Value: 3
Address: 41070, Value: 1
Address: 17904, Value: 3
Address: 41451, Value: 3
Address: 3361, Value: 1
Address: 32606, Value: 3
Address: 3676, Value: 1
Address: 51892, Value: 2
Address: 4074, Value: 3
Address: 65197, Value: 3
Address: 18540, Value: 3
Address: 5636, Value: 1
Address: 28545, Value: 1
Address: 61200, Value: 1
Address: 31281, Value: 1
Address: 21279, Value: 1
Address: 8100, Value: 2
Address: 52484, Value: 1
Address: 48321, Value: 3
Address: 63482, Value: 3
Address: 9135, Value: 3
Address: 23705, Value: 3
Address: 30824, Value: 3
Address: 40763, Value: 3
Address: 42642, Value: 3
Address: 4964, Value: 2
Address: 26639, Value: 3
Address: 10851, Value: 2
Address: 10379, Value: 3
Address: 53019, Value: 1
Address: 36264, Value: 1
Address: 45525, Value: 1
Address: 44932, Value: 1
Address: 32789, Value: 2
Address: 52619, Value: 1
Address: 24543, Value: 3
Address: 36284, Value: 1
Address: 55526, Value: 1
Address: 10076, Value: 1
Address: 54056, Value: 3
Address: 43861, Value: 1
Address: 32551, Value: 3
Address: 8768, Value: 1
Address: 19788, Value: 3
Address: 24164, Value: 2
Address: 54956, Value: 1
Address: 48126, Value: 3
Address: 51786, Value: 1
Address: 37711, Value: 3
Address: 50825, Value: 2
Address: 38921, Value: 3
Address: 11790, Value: 3
Address: 7897, Value: 3
Address: 55182, Value: 3
Address: 41670, Value: 3
Address: 12789, Value: 3
Address: 28443, Value: 1
Address: 51847, Value: 3
Address: 23658, Value: 2
Address: 21814, Value: 1
Address: 26129, Value: 3
Address: 657, Value: 2
Address: 370, Value: 3
Address: 43664, Value: 1
Address: 37760, Value: 3
Address: 26226, Value: 3
Address: 42398, Value: 3
Address: 18940, Value: 0
Address: 58071, Value: 1
Address: 54847, Value: 1
Address: 42246, Value: 1
Address: 21551, Value: 2
Address: 48610, Value: 1
Address: 64257, Value: 3
Address: 20132, Value: 3
Address: 8776, Value: 3
Address: 56783, Value: 3
Address: 2731, Value: 1
Address: 20993, Value: 1
Address: 33872, Value: 1
Address: 42125, Value: 3
Address: 7538, Value: 3
Address: 5008, Value: 3
Address: 32813, Value: 1
Address: 39780, Value: 2
Address: 62223, Value: 3
Address: 61174, Value: 1
Address: 42378, Value: 1
Address: 29515, Value: 3
Address: 28264, Value: 3
Address: 36201, Value: 3
Address: 34704, Value: 1
Address: 36544, Value: 1
Address: 36961, Value: 1
Address: 5560, Value: 1
Address: 15689, Value: 2
Address: 64902, Value: 2
Address: 54358, Value: 0
Address: 59919, Value: 1
Address: 19152, Value: 1
Address: 30139, Value: 3
Address: 18742, Value: 1
Address: 21254, Value: 1
Address: 59883, Value: 3
Address: 50297, Value: 3
Address: 20238, Value: 1
Address: 52350, Value: 0
Address: 509, Value: 3
Address: 45070, Value: 1
Address: 9804, Value: 1
Address: 3283, Value: 3
Address: 6644, Value: 3
Address: 11482, Value: 1
Address: 55618, Value: 1
Address: 31340, Value: 1
Address: 7573, Value: 2
Address: 35731, Value: 1
Address: 28654, Value: 1
Address: 54902, Value: 1
Address: 62623, Value: 1
Address: 46630, Value: 3
Address: 2097, Value: 1
Address: 35127, Value: 3
Address: 45862, Value: 1
Address: 18926, Value: 1
Address: 25839, Value: 1
Address: 7458, Value: 3
Address: 27520, Value: 3
Address: 46380, Value: 3
Address: 2317, Value: 1
Address: 24409, Value: 3
Address: 14865, Value: 1
Address: 34133, Value: 3
Address: 31630, Value: 1
Address: 59392, Value: 3
Address: 41729, Value: 1
Address: 54073, Value: 1
Address: 545, Value: 3
Address: 14398, Value: 1
Address: 27715, Value: 2
Address: 6509, Value: 1
Address: 29074, Value: 1
Address: 25466, Value: 1
Address: 24990, Value: 3
Address: 22978, Value: 1
Address: 13981, Value: 3
Address: 5535, Value: 3
Address: 51247, Value: 1
Address: 19174, Value: 1
Address: 57211, Value: 1
Address: 53360, Value: 3
Address: 40952, Value: 1
Address: 36185, Value: 1
Address: 22818, Value: 1
Address: 33517, Value: 1
Address: 49644, Value: 3
Address: 54945, Value: 3
Address: 2295, Value: 1
Address: 35254, Value: 3
Address: 18701, Value: 3
Address: 39487, Value: 3
Address: 59860, Value: 1
Address: 47413, Value: 3
Address: 44979, Value: 1
Address: 48788, Value: 2
Address: 51045, Value: 1
Address: 8484, Value: 1
Address: 64400, Value: 1
Address: 11465, Value: 1
Address: 60680, Value: 3
Address: 48715, Value: 3
Address: 52981, Value: 3
Address: 43211, Value: 1
Address: 56681, Value: 2
Address: 17214, Value: 3
Address: 39605, Value: 3
Address: 27404, Value: 1
Address: 6394, Value: 3
Address: 20289, Value: 2
Address: 47873, Value: 0
Address: 18295, Value: 3
Address: 24392, Value: 1
Address: 20560, Value: 3
Address: 57748, Value: 3
Address: 44011, Value: 1
Address: 29823, Value: 3
Address: 61281, Value: 3
Address: 43525, Value: 1
Address: 45886, Value: 3
Address: 19605, Value: 2
Address: 13616, Value: 1
Address: 56536, Value: 3
Address: 37194, Value: 3
Address: 29616, Value: 1
Address: 28867, Value: 3
Address: 48624, Value: 1
Address: 17111, Value: 3
Address: 58775, Value: 1
Address: 36064, Value: 3
Address: 9051, Value: 1
Address: 7367, Value: 3
Address: 40145, Value: 3
Address: 43772, Value: 1
Address: 3656, Value: 1
Address: 61374, Value: 3
Address: 28614, Value: 1
Address: 3892, Value: 3
Address: 39529, Value: 3
Address: 5232, Value: 3
Address: 28690, Value: 3
Address: 53402, Value: 3
Address: 37130, Value: 3
Address: 64609, Value: 1
Address: 4743, Value: 1
Address: 50745, Value: 1
Address: 35855, Value: 3
Address: 8764, Value: 1
Address: 39308, Value: 1
Address: 16672, Value: 1
Address: 205, Value: 1
Address: 25981, Value: 1
Address: 37974, Value: 1
Address: 12441, Value: 3
Address: 38611, Value: 3
Address: 48741, Value: 1
Address: 17165, Value: 1
Address: 24015, Value: 1
Address: 45582, Value: 1
Address: 47250, Value: 1
Address: 27460, Value: 1
Address: 35338, Value: 3
Address: 4714, Value: 3
Address: 13904, Value: 3
Address: 59070, Value: 3
Address: 27787, Value: 1
Address: 27397, Value: 1
Address: 43614, Value: 3
Address: 35786, Value: 1
Address: 52342, Value: 3
Address: 15523, Value: 2
Address: 46751, Value: 3
Address: 7048, Value: 3
Address: 43617, Value: 3
Address: 60488, Value: 1
Address: 50933, Value: 2
Address: 1, Value: 3
Address: 49521, Value: 3
Address: 49431, Value: 1
Address: 47643, Value: 3
Address: 62196, Value: 3
Address: 41465, Value: 1
Address: 31508, Value: 1
Address: 25733, Value: 1
Address: 54496, Value: 1
Address: 56184, Value: 3
Address: 18164, Value: 3
Address: 17660, Value: 1
Address: 46957, Value: 1
Address: 36116, Value: 1
Address: 26439, Value: 3
Address: 57214, Value: 3
Address: 61642, Value: 3
Address: 41149, Value: 1
Address: 28585, Value: 0
Address: 24331, Value: 3
Address: 23238, Value: 1
Address: 45298, Value: 1
Address: 62756, Value: 3
Address: 39839, Value: 1
Address: 23418, Value: 1
Address: 30939, Value: 1
Address: 20366, Value: 1
Address: 20261, Value: 3
Address: 47886, Value: 3
Address: 17611, Value: 1
Address: 13483, Value: 3
Address: 29733, Value: 1
Address: 53395, Value: 3
Address: 14727, Value: 3
Address: 54013, Value: 3
Address: 2678, Value: 1
Address: 58444, Value: 3
Address: 18806, Value: 1
Address: 40347, Value: 3
Address: 36386, Value: 3
Address: 62535, Value: 1
Address: 54511, Value: 3
Address: 23800, Value: 3
