Predictor, Branches Processed, Cumulative Accuracy (%)
Static Taken, 100, 53.0
Static Not Taken, 100, 47.0
One Bit, 100, 47.0
Two Bit, 100, 53.0
Bimodal, 100, 52.0
GShare, 100, 54.0
Hybrid, 100, 54.0
Static Taken, 200, 55.50000000000001
Static Not Taken, 200, 44.5
One Bit, 200, 44.5
Two Bit, 200, 55.50000000000001
Bimodal, 200, 54.0
GShare, 200, 55.50000000000001
Hybrid, 200, 55.50000000000001
Static Taken, 300, 51.0
Static Not Taken, 300, 49.0
One Bit, 300, 49.333333333333336
Two Bit, 300, 51.0
Bimodal, 300, 49.0
GShare, 300, 50.33333333333333
Hybrid, 300, 50.33333333333333
Static Taken, 400, 51.0
Static Not Taken, 400, 49.0
One Bit, 400, 49.25
Two Bit, 400, 51.0
Bimodal, 400, 49.0
GShare, 400, 50.0
Hybrid, 400, 50.0
Static Taken, 500, 51.0
Static Not Taken, 500, 49.0
One Bit, 500, 49.2
Two Bit, 500, 51.0
Bimodal, 500, 50.2
GShare, 500, 49.4
Hybrid, 500, 49.6
Static Taken, 600, 51.16666666666667
Static Not Taken, 600, 48.833333333333336
One Bit, 600, 48.833333333333336
Two Bit, 600, 51.16666666666667
Bimodal, 600, 51.16666666666667
GShare, 600, 49.833333333333336
Hybrid, 600, 49.833333333333336
Static Taken, 700, 50.857142857142854
Static Not Taken, 700, 49.142857142857146
One Bit, 700, 49.142857142857146
Two Bit, 700, 50.857142857142854
Bimodal, 700, 50.42857142857143
GShare, 700, 50.71428571428571
Hybrid, 700, 50.57142857142857
Static Taken, 800, 50.625
Static Not Taken, 800, 49.375
One Bit, 800, 49.375
Two Bit, 800, 50.625
Bimodal, 800, 49.875
GShare, 800, 49.625
Hybrid, 800, 49.25
Static Taken, 900, 50.888888888888886
Static Not Taken, 900, 49.111111111111114
One Bit, 900, 49.111111111111114
Two Bit, 900, 51.0
Bimodal, 900, 49.44444444444444
GShare, 900, 50.66666666666667
Hybrid, 900, 50.22222222222222
Static Taken, 1000, 51.300000000000004
Static Not Taken, 1000, 48.699999999999996
One Bit, 1000, 48.699999999999996
Two Bit, 1000, 51.4
Bimodal, 1000, 49.4
GShare, 1000, 50.6
Hybrid, 1000, 50.1
Static Taken, 1100, 51.272727272727266
Static Not Taken, 1100, 48.72727272727273
One Bit, 1100, 48.63636363636364
Two Bit, 1100, 51.36363636363637
Bimodal, 1100, 50.0
GShare, 1100, 50.090909090909086
Hybrid, 1100, 49.63636363636363
Static Taken, 1200, 50.33333333333333
Static Not Taken, 1200, 49.666666666666664
One Bit, 1200, 49.833333333333336
Two Bit, 1200, 50.5
Bimodal, 1200, 49.583333333333336
GShare, 1200, 50.0
Hybrid, 1200, 49.333333333333336
Static Taken, 1300, 50.153846153846146
Static Not Taken, 1300, 49.84615384615385
One Bit, 1300, 50.0
Two Bit, 1300, 50.23076923076923
Bimodal, 1300, 49.07692307692308
GShare, 1300, 50.23076923076923
Hybrid, 1300, 49.46153846153846
Static Taken, 1400, 49.92857142857143
Static Not Taken, 1400, 50.07142857142857
One Bit, 1400, 50.142857142857146
Two Bit, 1400, 49.92857142857143
Bimodal, 1400, 48.92857142857142
GShare, 1400, 50.5
Hybrid, 1400, 49.714285714285715
Static Taken, 1500, 49.93333333333334
Static Not Taken, 1500, 50.06666666666667
One Bit, 1500, 50.13333333333333
Two Bit, 1500, 49.86666666666667
Bimodal, 1500, 48.86666666666667
GShare, 1500, 50.46666666666667
Hybrid, 1500, 49.666666666666664
Static Taken, 1600, 50.0
Static Not Taken, 1600, 50.0
One Bit, 1600, 49.9375
Two Bit, 1600, 49.9375
Bimodal, 1600, 48.5
GShare, 1600, 50.24999999999999
Hybrid, 1600, 49.375
Static Taken, 1700, 50.23529411764706
Static Not Taken, 1700, 49.76470588235294
One Bit, 1700, 49.76470588235294
Two Bit, 1700, 50.05882352941177
Bimodal, 1700, 48.58823529411765
GShare, 1700, 50.411764705882355
Hybrid, 1700, 49.470588235294116
Static Taken, 1800, 49.833333333333336
Static Not Taken, 1800, 50.16666666666667
One Bit, 1800, 50.22222222222222
Two Bit, 1800, 49.666666666666664
Bimodal, 1800, 48.388888888888886
GShare, 1800, 50.55555555555556
Hybrid, 1800, 49.5
Static Taken, 1900, 49.84210526315789
Static Not Taken, 1900, 50.1578947368421
One Bit, 1900, 50.21052631578947
Two Bit, 1900, 49.684210526315795
Bimodal, 1900, 48.421052631578945
GShare, 1900, 50.526315789473685
Hybrid, 1900, 49.473684210526315
Static Taken, 2000, 49.65
Static Not Taken, 2000, 50.349999999999994
One Bit, 2000, 50.4
Two Bit, 2000, 49.4
Bimodal, 2000, 48.6
GShare, 2000, 50.349999999999994
Hybrid, 2000, 49.7
Static Taken, 2100, 49.57142857142857
Static Not Taken, 2100, 50.42857142857143
One Bit, 2100, 50.523809523809526
Two Bit, 2100, 49.42857142857143
Bimodal, 2100, 48.333333333333336
GShare, 2100, 50.476190476190474
Hybrid, 2100, 49.857142857142854
Static Taken, 2200, 49.81818181818182
Static Not Taken, 2200, 50.18181818181818
One Bit, 2200, 50.36363636363637
Two Bit, 2200, 49.63636363636363
Bimodal, 2200, 48.31818181818181
GShare, 2200, 50.590909090909086
Hybrid, 2200, 49.72727272727273
Static Taken, 2300, 50.0
Static Not Taken, 2300, 50.0
One Bit, 2300, 50.13043478260869
Two Bit, 2300, 49.69565217391304
Bimodal, 2300, 47.95652173913044
GShare, 2300, 50.69565217391304
Hybrid, 2300, 49.826086956521735
Static Taken, 2400, 49.916666666666664
Static Not Taken, 2400, 50.083333333333336
One Bit, 2400, 50.208333333333336
Two Bit, 2400, 49.625
Bimodal, 2400, 48.16666666666667
GShare, 2400, 50.458333333333336
Hybrid, 2400, 49.833333333333336
Static Taken, 2500, 49.4
Static Not Taken, 2500, 50.6
One Bit, 2500, 50.68
Two Bit, 2500, 49.120000000000005
Bimodal, 2500, 48.16
GShare, 2500, 50.2
Hybrid, 2500, 49.84
Static Taken, 2600, 49.5
Static Not Taken, 2600, 50.5
One Bit, 2600, 50.69230769230769
Two Bit, 2600, 49.19230769230769
Bimodal, 2600, 48.23076923076923
GShare, 2600, 50.26923076923077
Hybrid, 2600, 50.0
Static Taken, 2700, 49.25925925925926
Static Not Taken, 2700, 50.74074074074074
One Bit, 2700, 50.92592592592593
Two Bit, 2700, 49.111111111111114
Bimodal, 2700, 48.148148148148145
GShare, 2700, 50.25925925925926
Hybrid, 2700, 50.0
Static Taken, 2800, 49.42857142857143
Static Not Taken, 2800, 50.57142857142857
One Bit, 2800, 50.642857142857146
Two Bit, 2800, 49.32142857142857
Bimodal, 2800, 48.142857142857146
GShare, 2800, 50.32142857142857
Hybrid, 2800, 50.035714285714285
Static Taken, 2900, 49.79310344827586
Static Not Taken, 2900, 50.206896551724135
One Bit, 2900, 50.310344827586206
Two Bit, 2900, 49.724137931034484
Bimodal, 2900, 48.44827586206897
GShare, 2900, 50.37931034482759
Hybrid, 2900, 50.06896551724138
Static Taken, 3000, 50.0
Static Not Taken, 3000, 50.0
One Bit, 3000, 50.06666666666667
Two Bit, 3000, 49.93333333333334
Bimodal, 3000, 48.53333333333333
GShare, 3000, 50.56666666666667
Hybrid, 3000, 50.23333333333333
Static Taken, 3100, 50.0
Static Not Taken, 3100, 50.0
One Bit, 3100, 50.096774193548384
Two Bit, 3100, 50.0
Bimodal, 3100, 48.58064516129032
GShare, 3100, 50.806451612903224
Hybrid, 3100, 50.645161290322584
Static Taken, 3200, 49.9375
Static Not Taken, 3200, 50.0625
One Bit, 3200, 50.15625
Two Bit, 3200, 49.96875
Bimodal, 3200, 48.6875
GShare, 3200, 50.96874999999999
Hybrid, 3200, 50.81250000000001
Static Taken, 3300, 49.72727272727273
Static Not Taken, 3300, 50.272727272727266
One Bit, 3300, 50.36363636363637
Two Bit, 3300, 49.72727272727273
Bimodal, 3300, 48.60606060606061
GShare, 3300, 50.84848484848485
Hybrid, 3300, 50.696969696969695
Static Taken, 3400, 49.64705882352941
Static Not Taken, 3400, 50.35294117647059
One Bit, 3400, 50.35294117647059
Two Bit, 3400, 49.61764705882353
Bimodal, 3400, 48.35294117647059
GShare, 3400, 50.67647058823529
Hybrid, 3400, 50.55882352941177
Static Taken, 3500, 49.48571428571429
Static Not Taken, 3500, 50.51428571428571
One Bit, 3500, 50.51428571428571
Two Bit, 3500, 49.4
Bimodal, 3500, 48.51428571428571
GShare, 3500, 50.62857142857143
Hybrid, 3500, 50.48571428571429
Static Taken, 3600, 49.611111111111114
Static Not Taken, 3600, 50.38888888888889
One Bit, 3600, 50.38888888888889
Two Bit, 3600, 49.5
Bimodal, 3600, 48.55555555555556
GShare, 3600, 50.61111111111111
Hybrid, 3600, 50.583333333333336
Static Taken, 3700, 49.54054054054054
Static Not Taken, 3700, 50.45945945945945
One Bit, 3700, 50.35135135135135
Two Bit, 3700, 49.351351351351354
Bimodal, 3700, 48.59459459459459
GShare, 3700, 50.56756756756757
Hybrid, 3700, 50.64864864864865
Static Taken, 3800, 49.526315789473685
Static Not Taken, 3800, 50.473684210526315
One Bit, 3800, 50.39473684210526
Two Bit, 3800, 49.31578947368421
Bimodal, 3800, 48.78947368421053
GShare, 3800, 50.55263157894737
Hybrid, 3800, 50.578947368421055
Static Taken, 3900, 49.58974358974359
Static Not Taken, 3900, 50.410256410256416
One Bit, 3900, 50.358974358974365
Two Bit, 3900, 49.358974358974365
Bimodal, 3900, 48.8974358974359
GShare, 3900, 50.53846153846154
Hybrid, 3900, 50.589743589743584
Static Taken, 4000, 49.55
Static Not Taken, 4000, 50.449999999999996
One Bit, 4000, 50.324999999999996
Two Bit, 4000, 49.325
Bimodal, 4000, 48.75
GShare, 4000, 50.675000000000004
Hybrid, 4000, 50.575
Static Taken, 4100, 49.609756097560975
Static Not Taken, 4100, 50.390243902439025
One Bit, 4100, 50.24390243902439
Two Bit, 4100, 49.36585365853659
Bimodal, 4100, 48.58536585365854
GShare, 4100, 50.829268292682926
Hybrid, 4100, 50.51219512195122
Static Taken, 4200, 49.69047619047619
Static Not Taken, 4200, 50.3095238095238
One Bit, 4200, 50.19047619047618
Two Bit, 4200, 49.357142857142854
Bimodal, 4200, 48.57142857142857
GShare, 4200, 50.8095238095238
Hybrid, 4200, 50.33333333333333
Static Taken, 4300, 49.651162790697676
Static Not Taken, 4300, 50.348837209302324
One Bit, 4300, 50.2093023255814
Two Bit, 4300, 49.30232558139535
Bimodal, 4300, 48.48837209302326
GShare, 4300, 50.83720930232558
Hybrid, 4300, 50.441860465116285
Static Taken, 4400, 49.70454545454545
Static Not Taken, 4400, 50.29545454545455
One Bit, 4400, 50.20454545454546
Two Bit, 4400, 49.38636363636363
Bimodal, 4400, 48.65909090909091
GShare, 4400, 50.86363636363637
Hybrid, 4400, 50.34090909090909
Static Taken, 4500, 49.888888888888886
Static Not Taken, 4500, 50.11111111111111
One Bit, 4500, 50.13333333333333
Two Bit, 4500, 49.51111111111111
Bimodal, 4500, 48.68888888888889
GShare, 4500, 50.93333333333333
Hybrid, 4500, 50.4
Static Taken, 4600, 49.891304347826086
Static Not Taken, 4600, 50.10869565217392
One Bit, 4600, 50.10869565217392
Two Bit, 4600, 49.56521739130435
Bimodal, 4600, 48.82608695652174
GShare, 4600, 50.67391304347826
Hybrid, 4600, 50.30434782608696
Static Taken, 4700, 49.829787234042556
Static Not Taken, 4700, 50.170212765957444
One Bit, 4700, 50.148936170212764
Two Bit, 4700, 49.59574468085106
Bimodal, 4700, 48.87234042553191
GShare, 4700, 50.638297872340424
Hybrid, 4700, 50.31914893617021
Static Taken, 4800, 49.875
Static Not Taken, 4800, 50.125
One Bit, 4800, 50.125
Two Bit, 4800, 49.625
Bimodal, 4800, 48.9375
GShare, 4800, 50.66666666666667
Hybrid, 4800, 50.31250000000001
Static Taken, 4900, 49.63265306122449
Static Not Taken, 4900, 50.36734693877551
One Bit, 4900, 50.34693877551021
Two Bit, 4900, 49.42857142857143
Bimodal, 4900, 48.97959183673469
GShare, 4900, 50.57142857142857
Hybrid, 4900, 50.26530612244898
Static Taken, 5000, 49.54
Static Not Taken, 5000, 50.46000000000001
One Bit, 5000, 50.42
Two Bit, 5000, 49.4
Bimodal, 5000, 48.96
GShare, 5000, 50.519999999999996
Hybrid, 5000, 50.160000000000004
Static Taken, 5100, 49.49019607843137
Static Not Taken, 5100, 50.50980392156863
One Bit, 5100, 50.49019607843137
Two Bit, 5100, 49.372549019607845
Bimodal, 5100, 48.84313725490196
GShare, 5100, 50.588235294117645
Hybrid, 5100, 50.21568627450981
Static Taken, 5200, 49.55769230769231
Static Not Taken, 5200, 50.4423076923077
One Bit, 5200, 50.46153846153846
Two Bit, 5200, 49.44230769230769
Bimodal, 5200, 48.69230769230769
GShare, 5200, 50.59615384615385
Hybrid, 5200, 50.17307692307692
Static Taken, 5300, 49.716981132075475
Static Not Taken, 5300, 50.28301886792453
One Bit, 5300, 50.33962264150943
Two Bit, 5300, 49.56603773584906
Bimodal, 5300, 48.69811320754717
GShare, 5300, 50.60377358490567
Hybrid, 5300, 50.301886792452834
Static Taken, 5400, 49.81481481481482
Static Not Taken, 5400, 50.18518518518519
One Bit, 5400, 50.24074074074074
Two Bit, 5400, 49.648148148148145
Bimodal, 5400, 48.7037037037037
GShare, 5400, 50.46296296296296
Hybrid, 5400, 50.20370370370371
Static Taken, 5500, 49.92727272727272
Static Not Taken, 5500, 50.07272727272727
One Bit, 5500, 50.163636363636364
Two Bit, 5500, 49.72727272727273
Bimodal, 5500, 48.72727272727273
GShare, 5500, 50.418181818181814
Hybrid, 5500, 50.14545454545455
Static Taken, 5600, 49.98214285714286
Static Not Taken, 5600, 50.017857142857146
One Bit, 5600, 50.089285714285715
Two Bit, 5600, 49.80357142857143
Bimodal, 5600, 48.82142857142857
GShare, 5600, 50.375
Hybrid, 5600, 50.142857142857146
Static Taken, 5700, 50.01754385964913
Static Not Taken, 5700, 49.98245614035088
One Bit, 5700, 50.05263157894737
Two Bit, 5700, 49.859649122807014
Bimodal, 5700, 48.85964912280702
GShare, 5700, 50.31578947368421
Hybrid, 5700, 50.140350877192986
Static Taken, 5800, 49.896551724137936
Static Not Taken, 5800, 50.10344827586207
One Bit, 5800, 50.13793103448276
Two Bit, 5800, 49.74137931034483
Bimodal, 5800, 48.758620689655174
GShare, 5800, 50.13793103448276
Hybrid, 5800, 50.0
Static Taken, 5900, 49.983050847457626
Static Not Taken, 5900, 50.01694915254238
One Bit, 5900, 50.06779661016949
Two Bit, 5900, 49.79661016949152
Bimodal, 5900, 48.94915254237288
GShare, 5900, 50.186440677966104
Hybrid, 5900, 50.05084745762712
Static Taken, 6000, 50.05
Static Not Taken, 6000, 49.95
One Bit, 6000, 50.0
Two Bit, 6000, 49.81666666666666
Bimodal, 6000, 49.05
GShare, 6000, 50.083333333333336
Hybrid, 6000, 50.083333333333336
Static Taken, 6100, 50.08196721311475
Static Not Taken, 6100, 49.91803278688525
One Bit, 6100, 49.90163934426229
Two Bit, 6100, 49.91803278688525
Bimodal, 6100, 49.14754098360656
GShare, 6100, 50.016393442622956
Hybrid, 6100, 50.08196721311475
Static Taken, 6200, 49.88709677419355
Static Not Taken, 6200, 50.11290322580645
One Bit, 6200, 50.032258064516135
Two Bit, 6200, 49.74193548387097
Bimodal, 6200, 49.112903225806456
GShare, 6200, 49.96774193548387
Hybrid, 6200, 50.064516129032256
Static Taken, 6300, 49.920634920634924
Static Not Taken, 6300, 50.079365079365076
One Bit, 6300, 50.0
Two Bit, 6300, 49.80952380952381
Bimodal, 6300, 49.19047619047619
GShare, 6300, 49.87301587301587
Hybrid, 6300, 50.095238095238095
Static Taken, 6400, 49.984375
Static Not Taken, 6400, 50.015625
One Bit, 6400, 49.890625
Two Bit, 6400, 49.875
Bimodal, 6400, 49.234375
GShare, 6400, 49.890625
Hybrid, 6400, 50.18749999999999
Static Taken, 6500, 49.93846153846154
Static Not Taken, 6500, 50.061538461538454
One Bit, 6500, 49.92307692307693
Two Bit, 6500, 49.87692307692308
Bimodal, 6500, 49.23076923076923
GShare, 6500, 49.87692307692308
Hybrid, 6500, 50.169230769230765
Static Taken, 6600, 49.878787878787875
Static Not Taken, 6600, 50.121212121212125
One Bit, 6600, 49.95454545454546
Two Bit, 6600, 49.77272727272727
Bimodal, 6600, 49.22727272727273
GShare, 6600, 49.96969696969697
Hybrid, 6600, 50.21212121212121
Static Taken, 6700, 49.850746268656714
Static Not Taken, 6700, 50.14925373134328
One Bit, 6700, 50.0
Two Bit, 6700, 49.76119402985075
Bimodal, 6700, 49.19402985074627
GShare, 6700, 49.850746268656714
Hybrid, 6700, 50.14925373134328
Static Taken, 6800, 49.779411764705884
Static Not Taken, 6800, 50.220588235294116
One Bit, 6800, 50.05882352941177
Two Bit, 6800, 49.705882352941174
Bimodal, 6800, 49.14705882352941
GShare, 6800, 49.85294117647059
Hybrid, 6800, 50.117647058823536
Static Taken, 6900, 49.85507246376812
Static Not Taken, 6900, 50.14492753623189
One Bit, 6900, 50.01449275362319
Two Bit, 6900, 49.811594202898554
Bimodal, 6900, 49.15942028985507
GShare, 6900, 49.869565217391305
Hybrid, 6900, 50.13043478260869
Static Taken, 7000, 49.714285714285715
Static Not Taken, 7000, 50.28571428571429
One Bit, 7000, 50.2
Two Bit, 7000, 49.7
Bimodal, 7000, 49.25714285714285
GShare, 7000, 49.91428571428572
Hybrid, 7000, 50.21428571428571
Static Taken, 7100, 49.690140845070424
Static Not Taken, 7100, 50.30985915492958
One Bit, 7100, 50.225352112676056
Two Bit, 7100, 49.63380281690141
Bimodal, 7100, 49.28169014084507
GShare, 7100, 49.929577464788736
Hybrid, 7100, 50.23943661971831
Static Taken, 7200, 49.73611111111111
Static Not Taken, 7200, 50.263888888888886
One Bit, 7200, 50.208333333333336
Two Bit, 7200, 49.72222222222222
Bimodal, 7200, 49.26388888888889
GShare, 7200, 49.94444444444445
Hybrid, 7200, 50.30555555555556
Static Taken, 7300, 49.78082191780822
Static Not Taken, 7300, 50.21917808219178
One Bit, 7300, 50.16438356164383
Two Bit, 7300, 49.71232876712329
Bimodal, 7300, 49.28767123287671
GShare, 7300, 49.945205479452056
Hybrid, 7300, 50.301369863013704
Static Taken, 7400, 49.74324324324325
Static Not Taken, 7400, 50.25675675675676
One Bit, 7400, 50.27027027027027
Two Bit, 7400, 49.689189189189186
Bimodal, 7400, 49.28378378378378
GShare, 7400, 49.95945945945946
Hybrid, 7400, 50.32432432432432
Static Taken, 7500, 49.72
Static Not Taken, 7500, 50.28
One Bit, 7500, 50.239999999999995
Two Bit, 7500, 49.653333333333336
Bimodal, 7500, 49.17333333333333
GShare, 7500, 49.97333333333333
Hybrid, 7500, 50.28
Static Taken, 7600, 49.723684210526315
Static Not Taken, 7600, 50.27631578947368
One Bit, 7600, 50.30263157894736
Two Bit, 7600, 49.63157894736842
Bimodal, 7600, 49.171052631578945
GShare, 7600, 49.96052631578947
Hybrid, 7600, 50.23684210526316
Static Taken, 7700, 49.74025974025974
Static Not Taken, 7700, 50.25974025974026
One Bit, 7700, 50.298701298701296
Two Bit, 7700, 49.61038961038961
Bimodal, 7700, 49.142857142857146
GShare, 7700, 49.883116883116884
Hybrid, 7700, 50.116883116883116
Static Taken, 7800, 49.65384615384615
Static Not Taken, 7800, 50.346153846153854
One Bit, 7800, 50.346153846153854
Two Bit, 7800, 49.53846153846154
Bimodal, 7800, 49.166666666666664
GShare, 7800, 49.833333333333336
Hybrid, 7800, 50.07692307692307
Static Taken, 7900, 49.64556962025316
Static Not Taken, 7900, 50.35443037974684
One Bit, 7900, 50.34177215189873
Two Bit, 7900, 49.53164556962025
Bimodal, 7900, 49.13924050632911
GShare, 7900, 49.835443037974684
Hybrid, 7900, 50.0506329113924
Static Taken, 8000, 49.512499999999996
Static Not Taken, 8000, 50.4875
One Bit, 8000, 50.4625
Two Bit, 8000, 49.475
Bimodal, 8000, 49.225
GShare, 8000, 49.8
Hybrid, 8000, 50.112500000000004
Static Taken, 8100, 49.48148148148148
Static Not Taken, 8100, 50.51851851851852
One Bit, 8100, 50.53086419753087
Two Bit, 8100, 49.49382716049382
Bimodal, 8100, 49.18518518518519
GShare, 8100, 49.75308641975308
Hybrid, 8100, 50.01234567901235
Static Taken, 8200, 49.5
Static Not Taken, 8200, 50.5
One Bit, 8200, 50.52439024390244
Two Bit, 8200, 49.48780487804878
Bimodal, 8200, 49.18292682926829
GShare, 8200, 49.75609756097561
Hybrid, 8200, 49.926829268292686
Static Taken, 8300, 49.60240963855422
Static Not Taken, 8300, 50.397590361445786
One Bit, 8300, 50.373493975903614
Two Bit, 8300, 49.566265060240966
Bimodal, 8300, 49.132530120481924
GShare, 8300, 49.83132530120482
Hybrid, 8300, 49.9277108433735
Static Taken, 8400, 49.61904761904762
Static Not Taken, 8400, 50.38095238095238
One Bit, 8400, 50.33333333333333
Two Bit, 8400, 49.547619047619044
Bimodal, 8400, 49.202380952380956
GShare, 8400, 49.857142857142854
Hybrid, 8400, 49.94047619047619
Static Taken, 8500, 49.65882352941177
Static Not Taken, 8500, 50.34117647058823
One Bit, 8500, 50.34117647058823
Two Bit, 8500, 49.64705882352941
Bimodal, 8500, 49.2235294117647
GShare, 8500, 49.8235294117647
Hybrid, 8500, 49.976470588235294
Static Taken, 8600, 49.627906976744185
Static Not Taken, 8600, 50.372093023255815
One Bit, 8600, 50.33720930232558
Two Bit, 8600, 49.616279069767444
Bimodal, 8600, 49.26744186046512
GShare, 8600, 49.93023255813954
Hybrid, 8600, 50.02325581395349
Static Taken, 8700, 49.666666666666664
Static Not Taken, 8700, 50.33333333333333
One Bit, 8700, 50.33333333333333
Two Bit, 8700, 49.666666666666664
Bimodal, 8700, 49.264367816091955
GShare, 8700, 49.93103448275862
Hybrid, 8700, 50.01149425287357
Static Taken, 8800, 49.69318181818182
Static Not Taken, 8800, 50.30681818181818
One Bit, 8800, 50.30681818181818
Two Bit, 8800, 49.69318181818182
Bimodal, 8800, 49.32954545454545
GShare, 8800, 49.98863636363636
Hybrid, 8800, 50.090909090909086
Static Taken, 8900, 49.70786516853933
Static Not Taken, 8900, 50.29213483146068
One Bit, 8900, 50.30337078651685
Two Bit, 8900, 49.70786516853933
Bimodal, 8900, 49.48314606741573
GShare, 8900, 49.95505617977528
Hybrid, 8900, 50.13483146067416
Static Taken, 9000, 49.71111111111111
Static Not Taken, 9000, 50.28888888888889
One Bit, 9000, 50.34444444444445
Two Bit, 9000, 49.72222222222222
Bimodal, 9000, 49.48888888888889
GShare, 9000, 50.0
Hybrid, 9000, 50.1888888888889
Static Taken, 9100, 49.73626373626374
Static Not Taken, 9100, 50.263736263736256
One Bit, 9100, 50.29670329670329
Two Bit, 9100, 49.78021978021978
Bimodal, 9100, 49.582417582417584
GShare, 9100, 49.94505494505495
Hybrid, 9100, 50.1978021978022
Static Taken, 9200, 49.76086956521739
